0;0;1;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
21;12;20;33
51;29;48;56
73;43;67;64
78;46;68;66
76;48;66;63
83;50;74;73
90;54;78;72
88;56;77;73
90;56;77;70
93;59;84;77
94;56;84;74
96;59;87;79
96;58;87;73
89;55;97;61
72;47;80;44
18;14;12;4
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
13;10;11;18
20;15;18;23
25;18;23;26
28;21;25;27
30;21;27;28
32;24;30;30
32;25;29;29
32;24;29;29
32;25;30;30
36;26;32;31
36;25;32;33
36;27;33;32
36;28;33;32
35;27;35;31
32;32;31;24
25;21;24;15
17;14;10;4
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
18;10;12;29
52;32;45;66
84;47;73;88
108;60;91;93
117;65;98;98
122;70;107;105
132;78;115;111
153;87;136;129
163;94;144;129
47;24;18;5
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
20;10;17;34
60;35;54;72
90;52;81;88
109;63;91;93
115;67;97;98
124;70;108;108
125;74;107;108
135;74;115;113
160;93;139;134
168;97;147;121
1;1;0;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
16;8;10;26
44;24;36;57
68;38;58;73
88;53;75;81
98;55;81;87
103;61;86;93
111;61;93;101
116;65;93;97
122;66;95;101
118;64;100;102
131;71;112;111
157;85;135;129
171;94;150;138
18;15;9;5
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
19;11;18;29
39;25;34;45
53;36;46;51
58;38;52;53
59;39;53;52
65;42;53;56
64;40;56;57
65;44;58;58
69;46;61;63
73;48;65;62
74;50;67;66
75;49;74;69
80;55;70;70
81;55;74;66
80;56;66;52
46;36;44;28
12;11;11;3
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
17;8;13;34
69;39;61;84
109;62;98;103
:::::::::::::: Read Ended:::::::::::
124;69;101;105
126;73;104;108
132;77;109;115
153;84;129;129
174;94;149;144
10;10;4;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
16;11;12;23
28;18;21;31
36;25;31;39
44;31;37;41
45;31;39;45
50;35;41;46
53;35;44;49
56;38;46;52
62;39;51;56
65;43;56;60
71;48;61;64
76;51;68;71
85;54;71;72
86;54;74;75
91;58;80;75
84;57;78;67
66;45;63;43
40;25;24;10
7;6;4;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
22;13;17;32
40;24;32;44
53;34;44;53
61;39;54;54
66;40;53;58
70;47;58;63
73;47;59;68
80;49;64;72
85;51;69;81
94;57;72;77
:::::::::::::: Read Ended:::::::::::
102;59;85;90
110;66;92;95
115;66;102;106
129;70;104;110
168;90;139;124
0;1;0;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
13;9;10;15
19;12;16;23
25;16;19;24
29;19;22;31
30;23;25;26
31;21;24;28
31;22;25;27
34;23;28;31
34;25;29;32
45;26;32;32
38;27;32;33
38;28;34;36
42;30;39;37
39;31;36;35
36;29;31;25
28;21;28;17
11;10;11;4
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
14;8;12;22
29;18;25;35
42;26;37;44
51;32;46;48
57;36;52;53
69;40;51;58
66;41;55;63
71;47;60;69
83;50;74;73
88;53;80;83
102;60;88;94
115;67;109;102
125;74;104;109
142;80;122;125
4;4;2;1
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
17;11;12;25
32;19;28;37
46;29;39;43
53;35;45;47
54;36;50;52
62;39;49;57
65;42;54;61
71;44;59;64
79;48;68;74
89;54;74;85
97;60;83;87
108;67;96;101
119;67;106;109
136;78;118;122
1;2;1;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
19;11;17;29
38;24;32;42
53;34;46;49
62;40;51;54
63;39;55;62
69;43;61;64
75;44;60;66
81;46;66;74
87;50;72;79
99;60;81;87
104;61;86;90
115;66;101;101
122;77;111;112
136;79;121;123
6;5;3;1
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
24;12;19;36
52;29;44;57
74;43;61;65
94;53;70;74
93;50;79;80
101;58;80;87
110;61;91;100
122;67;97;115
135;71;109;125
206;100;178;198
255;136;255;255
0;0;0;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
17;9;12;31
53;32;46;67
88;50;77;82
101;59;86;85
106;63;93;97
122;67;99;103
129;74;109;115
191;100;163;171
255;146;255;255
255;114;255;212
0;0;0;1
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
25;11;27;64
146;70;139;153
255;118;222;251
255;111;255;255
39;3;1;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
17;10;15;20
25;18;23;26
31;21;26;27
35;24;30;33
37;25;31;34
40;26;35;36
43;29;39;40
50;35;43;43
54;35;48;50
56;37;53;48
46;35;30;19
9;7;5;1
:::::::::::::: Read Ended:::::::::::
