:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
15;11;13;19
22;14;19;24
27;19;23;26
29;19;24;28
32;22;29;32
38;24;33;35
44;31;39;40
48;31;41;39
41;28;35;25
21;14;11;4
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
17;10;14;20
24;18;23;25
32;19;28;32
33;23;32;34
39;25;32;36
40;26;34;38
45;30;39;42
50;29;48;49
54;34;48;50
59;36;52;56
74;47;60;54
49;36;32;17
9;7;5;1
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
23;13;18;30
39;21;34;44
51;30;42;50
59;32;46;58
68;36;53;63
80;42;64;76
94;48;76;87
115;54;93;119
138;63;115;126
:::::::::::::: Read Ended:::::::::::
1;1;0;0
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
21;12;16;30
41;25;32;46
58;33;43;56
66;39;52;64
77;43;60;77
94;51;73;91
129;59;95;115
255;118;255;255
1;1;0;1
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
:::::::::::::: Read Ended:::::::::::
